Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Hamilton City,Maori,Male,Yes,40-49,1374,0.3741654043859497
Hamilton City,Maori,Male,Yes,50-64,1305,0.3440770362116815
Hamilton City,Maori,Male,Yes,65+,483,0.3123432169586773
Hamilton City,Non-Maori,Female,No,18-29,11495,0.2854632289673402
Hamilton City,Non-Maori,Female,No,30-39,7953,0.20856041834781683
Hamilton City,Non-Maori,Female,No,40-49,7899,0.16172025317245695
Hamilton City,Non-Maori,Female,No,50-64,10185,0.1447638939293741
Hamilton City,Non-Maori,Female,No,65+,8526,0.1278300203021387
Hamilton City,Non-Maori,Male,No,18-29,11170,0.22241590281280169
Hamilton City,Non-Maori,Male,No,30-39,7368,0.15872489106181156
Hamilton City,Non-Maori,Male,No,40-49,7083,0.1213609126767359
Hamilton City,Non-Maori,Male,No,50-64,8976,0.10809058175922523
Hamilton City,Non-Maori,Male,No,65+,6540,0.0949702249551901
Hastings District,Maori,Female,Yes,18-29,1570,0.6530744306460077
Hastings District,Maori,Female,Yes,30-39,1032,0.5539089672096614
Hastings District,Maori,Female,Yes,40-49,1179,0.47617261655907767
Hastings District,Maori,Female,Yes,50-64,1173,0.4436969537279099
Hastings District,Maori,Female,Yes,65+,546,0.4084973248974807
Hastings District,Maori,Male,Yes,18-29,1301,0.5740658475063841
Hastings District,Maori,Male,Yes,30-39,831,0.47062282711127185
Hastings District,Maori,Male,Yes,40-49,873,0.39424494926882847
Hastings District,Maori,Male,Yes,50-64,1014,0.3634796904816886
Hastings District,Maori,Male,Yes,65+,384,0.33085903434858704
Hastings District,Non-Maori,Female,No,18-29,3230,0.2677236662785235
Hastings District,Non-Maori,Female,No,30-39,3102,0.19430031007846355
Hastings District,Non-Maori,Female,No,40-49,4344,0.1500555772309062
Hastings District,Non-Maori,Female,No,50-64,6336,0.13412656945239473
Hastings District,Non-Maori,Female,No,65+,5667,0.11826493812242234
Hastings District,Non-Maori,Male,No,18-29,3387,0.20745676593415677
Hastings District,Non-Maori,Male,No,30-39,2817,0.14723831872445092
Hastings District,Non-Maori,Male,No,40-49,4026,0.11221760999324752
